================ Training Loss (Thu Aug  8 08:08:42 2024) ================
(epoch: 2, iters: 48, time: 0.016, data: 2.293) G_GAN: 1.759 G_L1: 42.425 D_real: 0.357 D_fake: 0.503 
(epoch: 4, iters: 44, time: 0.016, data: 0.000) G_GAN: 2.583 G_L1: 40.213 D_real: 0.636 D_fake: 0.025 
(epoch: 6, iters: 40, time: 0.016, data: 0.000) G_GAN: 2.514 G_L1: 24.060 D_real: 0.179 D_fake: 0.092 
(epoch: 8, iters: 36, time: 0.083, data: 0.000) G_GAN: 3.159 G_L1: 35.870 D_real: 0.011 D_fake: 0.192 
(epoch: 10, iters: 32, time: 0.017, data: 0.000) G_GAN: 3.070 G_L1: 29.261 D_real: 0.547 D_fake: 0.042 
(epoch: 12, iters: 28, time: 0.016, data: 0.000) G_GAN: 3.956 G_L1: 32.952 D_real: 0.229 D_fake: 0.041 
(epoch: 14, iters: 24, time: 0.016, data: 0.000) G_GAN: 4.203 G_L1: 36.422 D_real: 0.116 D_fake: 0.039 
(epoch: 16, iters: 20, time: 0.131, data: 0.000) G_GAN: 3.830 G_L1: 33.660 D_real: 0.040 D_fake: 0.081 
(epoch: 18, iters: 16, time: 0.031, data: 0.000) G_GAN: 2.343 G_L1: 31.690 D_real: 0.174 D_fake: 0.486 
(epoch: 20, iters: 12, time: 0.022, data: 0.000) G_GAN: 2.019 G_L1: 28.192 D_real: 0.152 D_fake: 0.134 
(epoch: 22, iters: 8, time: 0.051, data: 0.000) G_GAN: 3.054 G_L1: 32.843 D_real: 0.039 D_fake: 0.392 
(epoch: 24, iters: 4, time: 0.111, data: 0.000) G_GAN: 4.303 G_L1: 35.063 D_real: 0.011 D_fake: 0.685 
(epoch: 25, iters: 52, time: 0.022, data: 0.000) G_GAN: 3.460 G_L1: 29.664 D_real: 0.442 D_fake: 0.087 
(epoch: 27, iters: 48, time: 0.016, data: 2.127) G_GAN: 3.453 G_L1: 31.146 D_real: 0.020 D_fake: 0.266 
(epoch: 29, iters: 44, time: 0.012, data: 0.000) G_GAN: 3.565 G_L1: 35.063 D_real: 0.222 D_fake: 0.033 
(epoch: 31, iters: 40, time: 0.105, data: 0.000) G_GAN: 4.013 G_L1: 31.095 D_real: 0.021 D_fake: 0.307 
(epoch: 33, iters: 36, time: 0.016, data: 0.000) G_GAN: 2.652 G_L1: 32.798 D_real: 0.234 D_fake: 0.690 
(epoch: 35, iters: 32, time: 0.012, data: 0.000) G_GAN: 1.197 G_L1: 31.320 D_real: 1.680 D_fake: 0.119 
(epoch: 37, iters: 28, time: 0.016, data: 0.000) G_GAN: 3.004 G_L1: 21.798 D_real: 0.103 D_fake: 0.224 
(epoch: 39, iters: 24, time: 0.110, data: 0.000) G_GAN: 2.730 G_L1: 36.219 D_real: 0.135 D_fake: 0.547 
(epoch: 41, iters: 20, time: 0.021, data: 0.000) G_GAN: 2.443 G_L1: 33.896 D_real: 0.097 D_fake: 0.244 
(epoch: 43, iters: 16, time: 0.016, data: 0.000) G_GAN: 3.368 G_L1: 35.183 D_real: 0.049 D_fake: 0.095 
(epoch: 45, iters: 12, time: 0.047, data: 0.000) G_GAN: 2.301 G_L1: 34.082 D_real: 0.327 D_fake: 0.074 
(epoch: 47, iters: 8, time: 0.163, data: 0.000) G_GAN: 3.537 G_L1: 19.954 D_real: 0.060 D_fake: 0.308 
(epoch: 49, iters: 4, time: 0.049, data: 0.000) G_GAN: 2.392 G_L1: 33.644 D_real: 0.123 D_fake: 0.119 
(epoch: 50, iters: 52, time: 0.016, data: 0.000) G_GAN: 4.032 G_L1: 25.121 D_real: 0.017 D_fake: 0.809 
(epoch: 52, iters: 48, time: 0.016, data: 2.155) G_GAN: 0.716 G_L1: 28.205 D_real: 1.538 D_fake: 0.199 
(epoch: 54, iters: 44, time: 0.124, data: 0.000) G_GAN: 2.045 G_L1: 24.346 D_real: 0.241 D_fake: 0.222 
(epoch: 56, iters: 40, time: 0.020, data: 0.000) G_GAN: 2.040 G_L1: 28.310 D_real: 0.588 D_fake: 0.383 
(epoch: 58, iters: 36, time: 0.016, data: 0.000) G_GAN: 2.215 G_L1: 30.355 D_real: 0.286 D_fake: 0.123 
(epoch: 60, iters: 32, time: 0.016, data: 0.000) G_GAN: 3.063 G_L1: 26.799 D_real: 0.300 D_fake: 0.069 
(epoch: 62, iters: 28, time: 0.147, data: 0.000) G_GAN: 2.671 G_L1: 21.074 D_real: 0.152 D_fake: 0.257 
(epoch: 64, iters: 24, time: 0.016, data: 0.000) G_GAN: 1.591 G_L1: 26.553 D_real: 0.976 D_fake: 0.059 
(epoch: 66, iters: 20, time: 0.031, data: 0.000) G_GAN: 3.907 G_L1: 32.166 D_real: 0.084 D_fake: 0.057 
(epoch: 68, iters: 16, time: 0.018, data: 0.000) G_GAN: 3.249 G_L1: 25.494 D_real: 0.101 D_fake: 0.509 
(epoch: 70, iters: 12, time: 0.147, data: 0.000) G_GAN: 3.036 G_L1: 26.358 D_real: 0.049 D_fake: 0.166 
(epoch: 72, iters: 8, time: 0.047, data: 0.000) G_GAN: 2.643 G_L1: 28.592 D_real: 0.212 D_fake: 0.206 
(epoch: 74, iters: 4, time: 0.016, data: 0.000) G_GAN: 2.946 G_L1: 28.789 D_real: 0.034 D_fake: 0.191 
(epoch: 75, iters: 52, time: 0.018, data: 0.000) G_GAN: 3.233 G_L1: 30.190 D_real: 0.090 D_fake: 0.068 
(epoch: 77, iters: 48, time: 0.165, data: 2.119) G_GAN: 0.487 G_L1: 20.722 D_real: 1.264 D_fake: 0.038 
(epoch: 79, iters: 44, time: 0.016, data: 0.000) G_GAN: 3.414 G_L1: 28.429 D_real: 0.142 D_fake: 0.138 
(epoch: 81, iters: 40, time: 0.016, data: 0.000) G_GAN: 3.771 G_L1: 27.177 D_real: 0.056 D_fake: 0.107 
(epoch: 83, iters: 36, time: 0.016, data: 0.000) G_GAN: 1.382 G_L1: 27.358 D_real: 0.559 D_fake: 0.517 
(epoch: 85, iters: 32, time: 0.142, data: 0.000) G_GAN: 2.813 G_L1: 29.318 D_real: 0.324 D_fake: 0.085 
(epoch: 87, iters: 28, time: 0.007, data: 0.000) G_GAN: 3.205 G_L1: 31.963 D_real: 0.040 D_fake: 0.265 
(epoch: 89, iters: 24, time: 0.016, data: 0.000) G_GAN: 2.914 G_L1: 28.828 D_real: 0.175 D_fake: 0.503 
(epoch: 91, iters: 20, time: 0.016, data: 0.000) G_GAN: 2.741 G_L1: 27.788 D_real: 0.095 D_fake: 0.354 
(epoch: 93, iters: 16, time: 0.163, data: 0.000) G_GAN: 1.672 G_L1: 27.326 D_real: 0.208 D_fake: 0.468 
(epoch: 95, iters: 12, time: 0.038, data: 0.016) G_GAN: 1.805 G_L1: 24.099 D_real: 0.458 D_fake: 0.179 
(epoch: 97, iters: 8, time: 0.047, data: 0.000) G_GAN: 4.426 G_L1: 21.385 D_real: 0.313 D_fake: 0.034 
(epoch: 99, iters: 4, time: 0.038, data: 0.000) G_GAN: 0.392 G_L1: 19.741 D_real: 1.127 D_fake: 0.062 
(epoch: 100, iters: 52, time: 0.179, data: 0.000) G_GAN: 4.990 G_L1: 20.829 D_real: 0.057 D_fake: 1.412 
(epoch: 102, iters: 48, time: 0.016, data: 2.179) G_GAN: 3.126 G_L1: 24.874 D_real: 0.079 D_fake: 0.051 
(epoch: 104, iters: 44, time: 0.020, data: 0.000) G_GAN: 1.159 G_L1: 20.711 D_real: 0.277 D_fake: 0.463 
(epoch: 106, iters: 40, time: 0.022, data: 0.000) G_GAN: 2.434 G_L1: 25.148 D_real: 0.324 D_fake: 0.073 
(epoch: 108, iters: 36, time: 0.185, data: 0.000) G_GAN: 2.741 G_L1: 24.004 D_real: 0.387 D_fake: 0.278 
(epoch: 110, iters: 32, time: 0.016, data: 0.000) G_GAN: 0.752 G_L1: 20.584 D_real: 1.050 D_fake: 0.258 
(epoch: 112, iters: 28, time: 0.016, data: 0.000) G_GAN: 3.171 G_L1: 30.270 D_real: 0.284 D_fake: 0.195 
(epoch: 114, iters: 24, time: 0.016, data: 0.000) G_GAN: 3.331 G_L1: 25.422 D_real: 0.257 D_fake: 0.092 
(epoch: 116, iters: 20, time: 0.185, data: 0.000) G_GAN: 2.907 G_L1: 32.129 D_real: 0.110 D_fake: 0.253 
(epoch: 118, iters: 16, time: 0.022, data: 0.000) G_GAN: 2.823 G_L1: 26.620 D_real: 0.018 D_fake: 0.260 
(epoch: 120, iters: 12, time: 0.016, data: 0.000) G_GAN: 2.089 G_L1: 24.192 D_real: 0.618 D_fake: 0.055 
(epoch: 122, iters: 8, time: 0.031, data: 0.000) G_GAN: 2.450 G_L1: 17.372 D_real: 0.189 D_fake: 0.573 
(epoch: 124, iters: 4, time: 0.269, data: 0.000) G_GAN: 2.069 G_L1: 21.344 D_real: 0.123 D_fake: 0.264 
(epoch: 125, iters: 52, time: 0.016, data: 0.000) G_GAN: 2.868 G_L1: 29.406 D_real: 0.010 D_fake: 0.742 
(epoch: 127, iters: 48, time: 0.016, data: 2.157) G_GAN: 1.777 G_L1: 25.563 D_real: 0.562 D_fake: 0.063 
(epoch: 129, iters: 44, time: 0.016, data: 0.000) G_GAN: 2.362 G_L1: 20.804 D_real: 0.427 D_fake: 0.124 
(epoch: 131, iters: 40, time: 0.200, data: 0.000) G_GAN: 3.896 G_L1: 32.295 D_real: 0.059 D_fake: 0.032 
(epoch: 133, iters: 36, time: 0.016, data: 0.000) G_GAN: 2.973 G_L1: 30.733 D_real: 0.012 D_fake: 0.200 
(epoch: 135, iters: 32, time: 0.016, data: 0.000) G_GAN: 2.826 G_L1: 20.006 D_real: 0.067 D_fake: 0.543 
(epoch: 137, iters: 28, time: 0.016, data: 0.000) G_GAN: 2.224 G_L1: 28.466 D_real: 0.011 D_fake: 0.667 
(epoch: 139, iters: 24, time: 0.200, data: 0.000) G_GAN: 3.374 G_L1: 19.991 D_real: 0.360 D_fake: 0.019 
(epoch: 141, iters: 20, time: 0.016, data: 0.000) G_GAN: 2.326 G_L1: 25.977 D_real: 0.156 D_fake: 0.502 
(epoch: 143, iters: 16, time: 0.016, data: 0.000) G_GAN: 1.458 G_L1: 16.732 D_real: 0.396 D_fake: 0.301 
(epoch: 145, iters: 12, time: 0.016, data: 0.000) G_GAN: 1.995 G_L1: 20.986 D_real: 0.545 D_fake: 0.113 
(epoch: 147, iters: 8, time: 0.232, data: 0.000) G_GAN: 2.581 G_L1: 28.652 D_real: 0.041 D_fake: 0.373 
(epoch: 149, iters: 4, time: 0.031, data: 0.000) G_GAN: 1.677 G_L1: 24.829 D_real: 0.210 D_fake: 0.398 
